[2026-08-26T12:24:06.071+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.091+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.092+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-08-26T12:24:06.170+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): kafka_producer> on 2026-08-25 00:00:00+00:00
[2026-08-26T12:24:06.186+0000] {standard_task_runner.py:60} INFO - Started process 574 to run task
[2026-08-26T12:24:06.194+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'retailpulse_medallion_pipeline', 'kafka_producer', 'scheduled__2026-08-25T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/retailpulse_dag.py', '--cfg-path', '/tmp/tmpyt5p8jew']
[2026-08-26T12:24:06.201+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask kafka_producer
[2026-08-26T12:24:06.414+0000] {task_command.py:423} INFO - Running <TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [running]> on host 1decbd92f565
[2026-08-26T12:24:06.575+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='retailpulse' AIRFLOW_CTX_DAG_ID='retailpulse_medallion_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-08-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-25T00:00:00+00:00'
[2026-08-26T12:24:08.410+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:08,409 | INFO | kafka_producer | Replaying /opt/***/data/raw/retailrocket/events.csv to topic 'retail.transactions' at kafka:9092
[2026-08-26T12:24:09.606+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:09,606 | INFO | kafka_producer | Sent 5000 events
[2026-08-26T12:24:10.578+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:10,577 | INFO | kafka_producer | Sent 10000 events
[2026-08-26T12:24:11.411+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:11,411 | INFO | kafka_producer | Sent 15000 events
[2026-08-26T12:24:12.192+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:12,192 | INFO | kafka_producer | Sent 20000 events
[2026-08-26T12:24:12.943+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:12,943 | INFO | kafka_producer | Sent 25000 events
[2026-08-26T12:24:13.808+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:13,808 | INFO | kafka_producer | Sent 30000 events
[2026-08-26T12:24:14.856+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:14,855 | INFO | kafka_producer | Sent 35000 events
[2026-08-26T12:24:19.339+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:19,338 | INFO | kafka_producer | Sent 40000 events
[2026-08-26T12:24:20.195+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:20,195 | INFO | kafka_producer | Sent 45000 events
[2026-08-26T12:24:21.021+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:21,021 | INFO | kafka_producer | Sent 50000 events
[2026-08-26T12:24:21.861+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:21,861 | INFO | kafka_producer | Sent 55000 events
[2026-08-26T12:24:22.753+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:22,753 | INFO | kafka_producer | Sent 60000 events
[2026-08-26T12:24:23.610+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:23,610 | INFO | kafka_producer | Sent 65000 events
[2026-08-26T12:24:24.386+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:24,386 | INFO | kafka_producer | Sent 70000 events
[2026-08-26T12:24:25.148+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:25,146 | INFO | kafka_producer | Sent 75000 events
[2026-08-26T12:24:25.977+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:25,977 | INFO | kafka_producer | Sent 80000 events
[2026-08-26T12:24:26.893+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:26,892 | INFO | kafka_producer | Sent 85000 events
[2026-08-26T12:24:27.674+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:27,674 | INFO | kafka_producer | Sent 90000 events
[2026-08-26T12:24:28.365+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:28,365 | INFO | kafka_producer | Sent 95000 events
[2026-08-26T12:24:29.167+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:29,166 | INFO | kafka_producer | Sent 100000 events
[2026-08-26T12:24:30.006+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:30,006 | INFO | kafka_producer | Sent 105000 events
[2026-08-26T12:24:30.823+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:30,823 | INFO | kafka_producer | Sent 110000 events
[2026-08-26T12:24:31.556+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:31,556 | INFO | kafka_producer | Sent 115000 events
[2026-08-26T12:24:32.313+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:32,313 | INFO | kafka_producer | Sent 120000 events
[2026-08-26T12:24:33.042+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:33,042 | INFO | kafka_producer | Sent 125000 events
[2026-08-26T12:24:33.826+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:33,826 | INFO | kafka_producer | Sent 130000 events
[2026-08-26T12:24:34.577+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:34,577 | INFO | kafka_producer | Sent 135000 events
[2026-08-26T12:24:35.359+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:35,358 | INFO | kafka_producer | Sent 140000 events
[2026-08-26T12:24:36.204+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:36,204 | INFO | kafka_producer | Sent 145000 events
[2026-08-26T12:24:36.926+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:36,925 | INFO | kafka_producer | Sent 150000 events
