[2026-08-27T02:38:47.945+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [queued]>
[2026-08-27T02:38:47.965+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [queued]>
[2026-08-27T02:38:47.967+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-08-27T02:38:47.991+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): kafka_producer> on 2026-08-26 00:00:00+00:00
[2026-08-27T02:38:48.000+0000] {standard_task_runner.py:60} INFO - Started process 3887 to run task
[2026-08-27T02:38:48.009+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'retailpulse_medallion_pipeline', 'kafka_producer', 'scheduled__2026-08-26T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/retailpulse_dag.py', '--cfg-path', '/tmp/tmpjpwrvdzl']
[2026-08-27T02:38:48.013+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask kafka_producer
[2026-08-27T02:38:48.132+0000] {task_command.py:423} INFO - Running <TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [running]> on host 1decbd92f565
[2026-08-27T02:38:48.262+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='retailpulse' AIRFLOW_CTX_DAG_ID='retailpulse_medallion_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T00:00:00+00:00'
[2026-08-27T02:38:49.540+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:49,539 | INFO | kafka_producer | Replaying /opt/***/data/raw/retailrocket/events.csv to topic 'retail.transactions' at kafka:9092
[2026-08-27T02:38:50.583+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:50,582 | INFO | kafka_producer | Sent 5000 events
[2026-08-27T02:38:51.484+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:51,483 | INFO | kafka_producer | Sent 10000 events
[2026-08-27T02:38:52.326+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:52,326 | INFO | kafka_producer | Sent 15000 events
[2026-08-27T02:38:53.123+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:53,123 | INFO | kafka_producer | Sent 20000 events
[2026-08-27T02:38:54.180+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:54,180 | INFO | kafka_producer | Sent 25000 events
[2026-08-27T02:38:55.034+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:55,034 | INFO | kafka_producer | Sent 30000 events
[2026-08-27T02:38:55.829+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:55,829 | INFO | kafka_producer | Sent 35000 events
[2026-08-27T02:38:56.652+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:56,652 | INFO | kafka_producer | Sent 40000 events
[2026-08-27T02:38:57.568+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:57,568 | INFO | kafka_producer | Sent 45000 events
[2026-08-27T02:38:59.823+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:38:59,823 | INFO | kafka_producer | Sent 50000 events
[2026-08-27T02:39:01.402+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:01,402 | INFO | kafka_producer | Sent 55000 events
[2026-08-27T02:39:02.637+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:02,636 | INFO | kafka_producer | Sent 60000 events
[2026-08-27T02:39:04.033+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:04,032 | INFO | kafka_producer | Sent 65000 events
[2026-08-27T02:39:05.283+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:05,282 | INFO | kafka_producer | Sent 70000 events
[2026-08-27T02:39:06.580+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:06,579 | INFO | kafka_producer | Sent 75000 events
[2026-08-27T02:39:08.682+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:08,682 | INFO | kafka_producer | Sent 80000 events
[2026-08-27T02:39:11.017+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:11,017 | INFO | kafka_producer | Sent 85000 events
[2026-08-27T02:39:12.720+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:12,719 | INFO | kafka_producer | Sent 90000 events
[2026-08-27T02:39:14.520+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:14,519 | INFO | kafka_producer | Sent 95000 events
[2026-08-27T02:39:17.073+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:17,072 | INFO | kafka_producer | Sent 100000 events
[2026-08-27T02:39:18.503+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:18,503 | INFO | kafka_producer | Sent 105000 events
[2026-08-27T02:39:19.566+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:19,565 | INFO | kafka_producer | Sent 110000 events
[2026-08-27T02:39:20.664+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:20,663 | INFO | kafka_producer | Sent 115000 events
[2026-08-27T02:39:21.934+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:21,934 | INFO | kafka_producer | Sent 120000 events
[2026-08-27T02:39:22.920+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:22,920 | INFO | kafka_producer | Sent 125000 events
[2026-08-27T02:39:24.142+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:24,142 | INFO | kafka_producer | Sent 130000 events
[2026-08-27T02:39:25.211+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:25,211 | INFO | kafka_producer | Sent 135000 events
[2026-08-27T02:39:26.197+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:26,197 | INFO | kafka_producer | Sent 140000 events
[2026-08-27T02:39:27.265+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:27,265 | INFO | kafka_producer | Sent 145000 events
[2026-08-27T02:39:28.286+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:28,285 | INFO | kafka_producer | Sent 150000 events
[2026-08-27T02:39:29.265+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:29,265 | INFO | kafka_producer | Sent 155000 events
[2026-08-27T02:39:30.342+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:30,341 | INFO | kafka_producer | Sent 160000 events
[2026-08-27T02:39:31.377+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:31,377 | INFO | kafka_producer | Sent 165000 events
[2026-08-27T02:39:32.307+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:32,307 | INFO | kafka_producer | Sent 170000 events
[2026-08-27T02:39:33.109+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:33,109 | INFO | kafka_producer | Sent 175000 events
[2026-08-27T02:39:33.984+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:33,983 | INFO | kafka_producer | Sent 180000 events
[2026-08-27T02:39:34.690+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:34,690 | INFO | kafka_producer | Sent 185000 events
[2026-08-27T02:39:35.686+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:35,686 | INFO | kafka_producer | Sent 190000 events
[2026-08-27T02:39:36.428+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:36,428 | INFO | kafka_producer | Sent 195000 events
[2026-08-27T02:39:37.193+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:37,193 | INFO | kafka_producer | Sent 200000 events
[2026-08-27T02:39:37.879+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:37,878 | INFO | kafka_producer | Sent 205000 events
[2026-08-27T02:39:38.586+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:38,586 | INFO | kafka_producer | Sent 210000 events
[2026-08-27T02:39:39.294+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:39,294 | INFO | kafka_producer | Sent 215000 events
[2026-08-27T02:39:40.242+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:40,242 | INFO | kafka_producer | Sent 220000 events
[2026-08-27T02:39:41.109+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:41,108 | INFO | kafka_producer | Sent 225000 events
[2026-08-27T02:39:41.829+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:39:41,828 | INFO | kafka_producer | Sent 230000 events
